name,price_low,price_high,rating_num,rating,description
Coleman 9-Can Soft Cooler Bag Keeps Ice Up to 24 Hours,$13.49 ,$13.49 ,19,4.2,"Keeps the Ice!, 24-hour ice retention at temperatures up to 90 degrees Fahrenheit
Holds 9 Cans"
Coleman 30 Can Soft Cooler With Liner,$19.99 ,$19.99 ,15,4.3,"Holds 30 cans
Removable hard plastic liner for carrying flexibility
Adjustable shoulder strap"
"Coleman 70-Quart Xtreme 5-Day Heavy-Duty Cooler, Tan",$78.20 ,$78.20 ,9,3.7,"Holds 100 cans
New, stylish outer casing
No-Crush Comfort Handles"
Igloo Island Breeze 28-Quart Cooler,$20.00 ,$36.98 ,24,4,Red. Swing-Up Bail Handle. Cool Riser Technology for Better Cooling. Ergonomic Curved Back for Carrying Comfort. Designed for Easy Stacking and Storage. Snap Lock Lid Closure. 28 Qts/26 Liters/37 12
Igloo 16-Quart Playmate Elite Cooler,$27.08 ,$27.08 ,27,4.7,"Top push-button for easy, single-hand opening
Tent-shaped, locking lid prevents spills"
Coleman 40-Can Soft Cooler Bag with Collapsible Design,$31.24 ,$31.24 ,14,4.1,"Holds 40 cans
Space saver design collapses flat for easy storage
Adjustable shoulder strap"
"Rubbermaid 20 qt Ice Chest, Blue",$28.40 ,$28.40 ,43,4.4,"Easy-to-clean liner
Top swing handle
Holds 26 cans plus ice"
Coleman 200-Quart Optimaxx Cooler,$269.22 ,$269.22 ,38,4,"Holds up to 327 cans
Antimicrobial liner
Stainless steel hardware"
Rubbermaid 150 qt Marine Ice Chest,$128.86 ,$128.86 ,58,4.3,"Holds 250 lbs of fish and 30 lbs of ice or 252 cans plus ice
Threaded drain plug
Built-in extra wide handles"
Igloo Marine Ultra 36 Cooler,$44.90 ,$44.90 ,13,4.2,"Ultratherm insulated body and lid
UV Inhibitors to protect against sun damage
Reinforced comfort grip handles with integrated fish measuring ruler on lid"
Igloo Iceless Electric 28 Quart Cooler,$92.00 ,$92.00 ,47,4,"Swing-up bale handle with comfort grip for easy carrying
Molded-in side handles for 2-handed carrying
12V electric cooler is ideal for vacations, road trips, RV's, boats and more"
Coleman 150 qt Offshore Pro Series Marine Cooler,$141.07 ,$141.07 ,13,4.8,"Antimicrobial liner resists odor, mold, mildew and fungus
UVGuard material helps protect your cooler from the sun's damaging rays
Keeps the Ice! up to 6 days at temperatures up to"
Igloo?? Playmate?? Gripper? 18 Tan/Orange Cooler Bag,$19.97 ,$19.97 ,4,4.3,"Ergonomic, rubberized comfort-grip handle
Removable, adjustable shoulder strap
Easy to clean"
Igloo Iceless 26-Qt Cooler,$82.14 ,$82.14 ,57,4.4,"26 qt capacity
Cools without ice ?€? more room for food and drinks
Cools down 36 degrees F"
Coleman 54 qt Steel Belted Cooler,$109.59 ,$109.59 ,15,3.7,Features: -Belted cooler. -Holds 85 cans. -Solid steel latch designed to seal securely. -Stainless steel handles with rubber grips make it simple to carry. -Rust resistant hinges and screws.
